,T0056 MVP,T0056,T00713
2017-09-27,0.0,0.0,0.0
2017-09-28,-6.558865909922496e-05,0.0,-0.0013385970957934257
2017-09-29,0.0,0.0,-0.002677380664679485
2017-10-02,0.0,0.0,0.0
2017-10-03,0.0,0.0,0.0
2017-10-05,0.0,0.0,0.0
2017-10-06,0.0,0.0,-0.003257424761437533
2017-10-11,0.0,0.0,0.0
2017-10-12,0.0,-0.0007574370747813752,-0.0009757471124409722
2017-10-13,0.0,-0.004922613219488281,0.0
2017-10-16,0.0,-0.00113609963012673,0.0
2017-10-17,-0.0016496588172468796,-0.0037866255534525495,0.0
2017-10-18,0.0,-0.0030293004427619508,-0.011225208054080005
2017-10-19,0.0,-0.0022720872961623506,-0.008980220052783983
2017-10-20,0.0,-0.0030293004427619508,-0.010583591448280916
2017-10-23,0.0,0.0,-0.006735142702287811
2017-10-24,0.0,0.0,-0.0035278638160933795
2017-10-25,-0.0007391710503320548,0.0,-0.0076972548887859205
2017-10-26,-0.003832735640356799,-0.0007505648383350216,-0.008659367075284141
2017-10-27,-0.01208594142563979,-0.009384280428427982,-0.019563722151864527
2017-10-30,-0.013600437072463056,-0.007047783852422107,-0.018280846337066836
2017-10-31,-0.008039556243304324,-0.0039328620751085674,-0.013790691636074937
2017-11-01,-0.004747570416879898,-0.003153992883952461,-0.013470106706175655
2017-11-02,-0.006219859346491274,-0.00042822820856180943,-0.014752982520973346
2017-11-03,-0.0047277703666246396,0.0,-0.015715184056671605
2017-11-06,-0.006932274601710198,-0.003503294859189654,-0.017639408429667935
2017-11-07,-0.007955590322631378,-0.003503294859189654,-0.015394331079171764
2017-11-08,-0.0052798092556034515,-0.00155697062249871,-0.01603603703417089
2017-11-09,-0.011747998233481383,-0.01089912723319375,-0.019243137221965134
2017-11-10,-0.013287941285982319,-0.015570150059257437,-0.020205160059263094
2017-11-13,-0.025195238118901564,-0.02685874186521131,-0.023412349596257376
2017-11-14,-0.0210944362828841,-0.021409011810762824,-0.025016078388554464
2017-11-15,-0.02419663973253572,-0.025690681022634165,-0.020525923687562342
2017-11-16,-0.022638687403174762,-0.025301660284144933,-0.021808710153159994
2017-11-17,-0.01906145099798151,-0.021798365424955057,-0.018601609965365862
2017-11-20,-0.016010243652840317,-0.023355336047453545,-0.019563722151864082
2017-11-21,-0.009758551180810038,-0.019462798532639103,-0.015394331079171542
2017-11-22,-0.007799348346684276,-0.020241283843888458,-0.009300804982682598
2017-11-24,-0.006860636390573105,-0.01673821090183436,-0.006093526096488389
2017-11-27,-0.009872078342369472,-0.019073555877014536,-0.010904444425779869
2017-11-28,-0.007603454315909364,-0.02296598243326131,-0.017318734150568282
2017-11-29,-0.0070260099465583314,-0.021019769155138035,-0.019243137221964912
2017-11-30,-0.009284428095535202,-0.027247873562267988,-0.026298864854152115
2017-12-01,-0.01678241211750453,-0.027247873562267988,-0.023091764666358094
2017-12-04,-0.013134347564400461,-0.027247873562267988,-0.026940213412350977
2017-12-05,-0.018992466670968877,-0.03230825000252402,-0.027581740668949806
2017-12-06,-0.02507531141975705,-0.042039649268843626,-0.04105184737512557
2017-12-07,-0.028726820992956092,-0.04710002570909977,-0.0423348125391233
2017-12-08,-0.021034686798323876,-0.03775798005697251,-0.04169337463172462
2017-12-11,-0.01739011523724443,-0.03075127938002553,-0.03527890620853591
2017-12-12,-0.015807561659781033,-0.03464381689483986,-0.03559966983683538
2017-12-13,-0.014386688189490182,-0.03347608892796594,-0.03399603039373822
2017-12-14,-0.004258086702903285,-0.02997268311020851,-0.030468166577644618
2017-12-15,-0.00706011725677369,-0.03230825000252424,-0.03752389420983193
2017-12-18,-0.007060117256773468,-0.028804955143334365,-0.03271324392814057
2017-12-19,-0.00612883175871326,-0.031529764691274664,-0.03463746830113712
2017-12-20,0.0,-0.03075127938002553,-0.03207189536994193
2017-12-21,-0.004886572070281092,-0.03075127938002553,-0.03335468183553958
2017-12-22,-0.0012949110142512765,-0.03075127938002553,-0.03592052281433522
2017-12-26,-0.008537871567836586,-0.03114030011851454,-0.042655486818222954
2017-12-27,-0.0012011853861970678,-0.03075127938002531,-0.0355996698368356
2017-12-28,0.0,-0.03075127938002531,-0.0314303681133431
2017-12-29,0.0,-0.026858741865210867,-0.03271324392814079
2018-01-02,0.0,-0.021798365424954613,-0.023412349596257376
2018-01-03,0.0,-0.014791775706575083,-0.018601609965365973
2018-01-04,-0.00016771721765729275,-0.010899127233193084,-0.018601609965365973
2018-01-05,0.0,-0.00973139926631894,-0.017318734150568282
2018-01-08,0.0,-0.004671022826062687,-0.01154570363477847
2018-01-09,-0.0009641667956054034,-0.007395721415435319,-0.012507994519676768
2018-01-10,-0.0019184631825813758,-0.01245620881425924,-0.01539433107917132
2018-01-11,-0.005724086959882579,-0.010899127233192862,-0.01507374614927215
2018-01-12,0.0,-0.005838750792936609,-0.008659367075283697
2018-01-16,0.0,0.0,-0.002565662280394676
2018-01-17,0.0,0.0,-0.0035278638160930464
2018-01-18,0.0,0.0,-0.0006413485581981959
2018-01-19,-0.0013932121180033619,-0.0007685025899577536,0.0
2018-01-22,0.0,0.0,-0.0009597788817800046
2018-01-23,-0.0014663781774452156,-0.0019046938541262826,-0.004799785899594733
2018-01-24,0.0,0.0,-0.005759832228583117
2018-01-25,0.0,0.0,-0.0035197835603228977
2018-01-26,0.0,0.0,-0.004159784729958704
2018-01-29,0.0,0.0,0.0
2018-01-30,-0.011530576935234405,-0.014552040923340614,-0.008945701233017855
2018-01-31,-0.011451003501923185,-0.013059556632610159,-0.010543281391728998
2018-02-01,-0.0156587325984342,-0.014179026213563484,-0.00607043077522007
2018-02-02,-0.01737625207544613,-0.017163888432119245,-0.010862637211521475
2018-02-05,-0.031218294995896234,-0.029850536717857756,-0.02555905737341202
2018-02-06,-0.07270305937201582,-0.06753714777657915,-0.04824275528238797
2018-02-07,-0.05752376522319935,-0.051119182401108354,-0.04185305769401404
2018-02-08,-0.05599228700685688,-0.04850722852942402,-0.03833863056343767
2018-02-09,-0.06644693149097936,-0.04850722852942402,-0.046006463484091764
2018-02-12,-0.06799711695518862,-0.06156699788784503,-0.04217259152708419
2018-02-21,-0.043803503585137626,-0.04029835220459432,-0.02907357351062745
2018-02-22,-0.05090154135276603,-0.04402966929432661,-0.03514382627257018
2018-02-23,-0.03723819016025287,-0.03731327726022737,-0.026837192705692292
2018-02-26,-0.034810555589450676,-0.030596885226128467,-0.02172536342968212
2018-02-27,-0.038138170700789065,-0.031716354807082014,-0.02172536342968212
2018-03-01,-0.03669632944122525,-0.0332088390978128,-0.020447317104040685
2018-03-02,-0.04288505274984655,-0.038805867913863756,-0.0303514418229911
2018-03-05,-0.04914894160597716,-0.04365665458454948,-0.03354633512049743
2018-03-06,-0.045023794931553285,-0.038805867913863645,-0.03258800064120382
2018-03-07,-0.04511342583154754,-0.04104459434995966,-0.028754128684196134
2018-03-08,-0.04091811771147458,-0.029477522008080514,-0.02555905737341224
2018-03-09,-0.037810442143072165,-0.03246249058954176,-0.03194884396842501
2018-03-13,-0.037810442143072165,-0.023507372119346837,-0.019808516457817005
2018-03-14,-0.03759223441412596,-0.026865461773490917,-0.022044719249474598
2018-03-15,-0.042159947244313045,-0.025746098555442964,-0.022044719249474598
2018-03-16,-0.03735875805597455,-0.023880599554935156,-0.02172536342968212
2018-03-19,-0.03690966797197481,-0.022761023611076014,-0.01948889361810835
2018-03-20,-0.03989506245087171,-0.024999856410077625,-0.020766850937110948
2018-03-21,-0.03794288490943121,-0.023507372119346837,-0.017891491472674548
2018-03-22,-0.038561435602705085,-0.02462673533739479,-0.021086295763542262
2018-03-23,-0.05227328662981312,-0.03656714147776796,-0.03194884396842523
2018-03-26,-0.04966932945709146,-0.029850536717857534,-0.02715654852548499
2018-03-27,-0.040968474753953266,-0.026865461773490695,-0.017571779626327055
2018-03-28,-0.04828865078897682,-0.03246249058954176,-0.02236425308254475
2018-03-29,-0.05079226464526454,-0.033581960170495306,-0.02715654852548499
2018-04-02,-0.04469604719627851,-0.02910440093539768,-0.01373817468923555
2018-04-03,-0.05215188950254779,-0.03283550529931878,-0.023642210401547348
2018-04-09,-0.045606751066804674,-0.031716354807082014,-0.014057441502389523
2018-04-10,-0.043371821117695886,-0.031716354807082014,-0.014057441502389523
2018-04-11,-0.04411741766655597,-0.02574609855544252,-0.011821060697454477
2018-04-12,-0.04509561092908365,-0.029850536717857423,-0.011821060697454477
2018-04-13,-0.04545165082902847,-0.03022376415344563,-0.011182082037953123
2018-04-16,-0.050867297264308275,-0.030596885226128245,-0.013418551849526894
2018-04-17,-0.05708793733699402,-0.03843285320408629,-0.020447317104040907
2018-04-18,-0.05661097550667138,-0.04179094285823026,-0.019169270778399694
2018-04-19,-0.04479164810849301,-0.03507444446122565,-0.013418551849526894
2018-04-20,-0.04857840211246445,-0.036567141477767295,-0.014696598175168107
2018-04-23,-0.05182731416926678,-0.04141782178554754,-0.017571779626327055
2018-04-24,-0.05983169025917301,-0.048507228529423796,-0.02747608235855492
2018-04-25,-0.06389861197765245,-0.055596954362016726,-0.033226890294066336
2018-04-26,-0.07113635845873179,-0.05858192294347797,-0.03769965190393665
2018-04-27,-0.07208746346286954,-0.06156699788784492,-0.03769965190393665
2018-04-30,-0.06999478891733912,-0.05223875834496705,-0.031309954315562605
2018-05-02,-0.07133254985081083,-0.05447748478106296,-0.02779561619162485
2018-05-03,-0.07890010036610917,-0.05895504401616036,-0.030990331475853727
2018-05-04,-0.07868576611721856,-0.059701392524431185,-0.03194884396842501
2018-05-07,-0.07937004791050406,-0.05596996907179341,-0.03067088664942219
2018-05-08,-0.0723278842286007,-0.05111918240110769,-0.03067088664942219
2018-05-09,-0.07110472352294028,-0.05223875834496683,-0.026517569865983304
2018-05-10,-0.06637930907964884,-0.04925368340059988,-0.026517569865983304
2018-05-11,-0.061779874695873205,-0.04477601780259677,-0.017891491472674104
2018-05-14,-0.058417213608274565,-0.03544745917100256,-0.014376975335458897
2018-05-15,-0.05862274976690873,-0.03805951940559238,-0.015974466487531425
2018-05-16,-0.05282943759663583,-0.032462490589541315,-0.015974466487531425
2018-05-17,-0.05040146866652717,-0.027611810281761073,-0.012140505523884904
